Designator,Mid X,Mid Y,Rotation,Layer
C1,125.0188,-122.2484,270.0,top
C10,149.496899,-107.393,90.0,bottom
C11,138.295499,-112.268,270.0,bottom
C12,114.3508,-112.0376,270.0,top
C13,114.3508,-107.1644,90.0,top
C15,107.8738,-102.6414,180.0,bottom
C2,102.0808,-118.237,180.0,top
C3,130.0,-113.475,90.0,top
C4,107.8738,-100.1268,180.0,bottom
C5,144.721699,-96.8774,90.0,bottom
C6,150.500199,-112.3569,270.0,bottom
C7,108.1514,-103.3018,0.0,top
C8,114.2746,-112.219,270.0,bottom
C9,114.2746,-107.2134,90.0,bottom
D1,130.2676,-128.3208,0.0,top
D2,113.1824,-120.7426,270.0,top
D3,138.0,-111.65,90.0,top
D4,108.3564,-97.6286,90.0,top
D5,101.6799,-103.4161,180.0,top
D6,153.5,-122.0,90.0,bottom
D7,135.5,-128.0936,270.0,top
D8,138.0,-128.1416,270.0,top
F1,107.8514,-97.5106,180.0,bottom
J2,126.5,-94.26,90.0,top
K1,150.45,-122.55,180.0,top
Q1,155.931899,-112.0,270.0,bottom
Q2,152.519499,-102.0826,90.0,bottom
Q3,137.5,-124.0,90.0,bottom
R1,131.5,-105.9625,90.0,bottom
R10,116.7638,-116.9817,270.0,bottom
R11,102.0425,-120.7008,0.0,top
R12,114.3254,-116.9817,90.0,bottom
R13,125.0546,-113.496,270.0,top
R19,142.283299,-96.8395,90.0,bottom
R20,153.040199,-112.3569,90.0,bottom
R21,147.071199,-96.8649,270.0,bottom
R22,149.573099,-96.8395,90.0,bottom
R23,147.947499,-112.3422,90.0,bottom
R24,145.534499,-112.3442,270.0,bottom
R25,149.471499,-102.6267,90.0,bottom
R26,138.219299,-107.1118,90.0,bottom
R27,143.121499,-112.3442,90.0,bottom
R28,140.708499,-107.0757,90.0,bottom
R29,140.708499,-112.2807,90.0,bottom
R3,127.5,-113.5,90.0,top
R30,133.7818,-122.0617,270.0,top
R31,136.2456,-122.0577,270.0,top
R4,121.5,-105.9625,90.0,bottom
R6,122.54,-113.5,90.0,top
R7,119.0117,-122.2229,90.0,top
R8,121.7168,-122.2395,270.0,top
RV1,120.9914,-128.0956,90.0,top
RV2,110.3634,-128.0556,90.0,top
U1,129.6162,-121.793,0.0,top
U2,107.7214,-120.8136,0.0,top
U4,109.37,-111.69,90.0,bottom
U5,145.255099,-104.2558,180.0,bottom
U6,133.45,-114.4016,90.0,top
U7,109.3206,-110.398,270.0,top
